WL,apoCD,apoMME,CaCD,CaMME,CuCD,CuMME,CaCuCD,CaCuMME,CuEDTACD,CuEDTAMME,CaCuEDTACD,CaCuEDTAMME
250,-0.209292,-101.9941520468,-0.239499,-116.7149122807,-0.269821,-131.4917153996,-0.335377,-163.4390838207,-0.25639,-124.9463937622,-0.196571,-95.794834308
249,-0.346373,-168.7977582846,-0.389131,-189.6349902534,-0.489351,-238.4751461988,-0.547799,-266.9585769981,-0.446036,-217.3664717349,-0.404527,-197.13791423
248,-0.510674,-248.8664717349,-0.601794,-293.2719298246,-0.695203,-338.7928849903,-0.785056,-382.5808966862,-0.647802,-315.6929824561,-0.622143,-303.1885964912
247,-0.696603,-339.4751461988,-0.905519,-441.2860623782,-1.01668,-495.4580896686,-1.10067,-536.3888888889,-0.811612,-395.522417154,-0.781322,-380.761208577
246,-1.08363,-528.0847953216,-1.35783,-661.7105263158,-1.44682,-705.0779727096,-1.56015,-760.3070175439,-1.25055,-609.4298245614,-1.14343,-557.2270955166
245,-1.60001,-779.7319688109,-1.95859,-954.4785575049,-1.95932,-954.8343079922,-2.08158,-1014.4152046784,-1.68473,-821.0185185185,-1.60174,-780.5750487329
244,-2.15763,-1051.4766081871,-2.60494,-1269.4639376218,-2.60505,-1269.5175438597,-2.84826,-1388.0409356725,-2.19666,-1070.4970760234,-2.17721,-1061.0185185185
243,-3.03722,-1480.126705653,-3.63983,-1773.7962962963,-3.59255,-1750.7553606238,-3.84821,-1875.3460038986,-3.07901,-1500.4922027291,-3.09749,-1509.4980506823
242,-4.04884,-1973.1189083821,-4.81601,-2346.9834307992,-4.73951,-2309.7027290448,-5.07821,-2474.761208577,-4.10533,-2000.6481481482,-4.02704,-1962.4951267057
241,-5.34996,-2607.1929824561,-6.32828,-3083.9571150098,-6.20058,-3021.7251461988,-6.64932,-3240.4093567252,-5.32935,-2597.149122807,-5.37981,-2621.7397660819
240,-6.84563,-3336.0769980507,-8.17764,-3985.2046783626,-7.97904,-3888.4210526316,-8.44354,-4114.7855750487,-6.89447,-3359.8781676413,-6.91448,-3369.6296296296
239,-8.72427,-4251.5935672515,-10.4917,-5112.9142300195,-10.0508,-4898.0506822612,-10.7119,-5220.22417154,-8.73204,-4255.3801169591,-8.83684,-4306.4522417154
238,-11.1688,-5442.8849902534,-13.2555,-6459.7953216374,-12.5813,-6131.2378167641,-13.5835,-6619.6393762183,-10.9661,-5344.1033138402,-11.0617,-5390.6920077973
237,-13.8299,-6739.7173489279,-16.6123,-8095.6627680312,-15.525,-7565.7894736842,-16.911,-8241.2280701754,-13.7313,-6691.6666666667,-13.864,-6756.3352826511
236,-17.0202,-8294.4444444445,-20.2861,-9886.0136452242,-19.0694,-9293.0799220273,-20.6894,-10082.5536062378,-16.8605,-8216.6179337232,-17.0131,-8290.9844054581
235,-20.6274,-10052.3391812866,-24.7151,-12044.395711501,-23.0329,-11224.6101364522,-25.09,-12227.0955165692,-20.3818,-9932.6510721248,-20.589,-10033.6257309942
234,-24.5383,-11958.2358674464,-29.3885,-14321.8810916179,-27.2276,-13268.8109161793,-29.8124,-14528.4600389864,-24.1856,-11786.3547758285,-24.4239,-11902.485380117
233,-28.636,-13955.1656920078,-34.3977,-16763.0116959064,-31.8162,-15504.9707602339,-34.9021,-17008.820662768,-28.3474,-13814.522417154,-28.5555,-13915.9356725146
232,-32.9291,-16047.3196881092,-39.5881,-19292.4463937622,-36.4354,-17756.0428849903,-40.1938,-19587.6218323587,-32.3507,-15765.4483430799,-32.6388,-15905.8479532164
231,-37.1047,-18082.2124756335,-44.8194,-21841.8128654971,-41.285,-20119.395711501,-45.5003,-22173.6354775828,-36.5656,-17819.4931773879,-36.8042,-17935.7699805068
230,-41.1653,-20061.0623781676,-49.9237,-24329.2884990253,-45.7668,-22303.5087719298,-50.6037,-24660.6725146199,-40.6781,-19823.6354775828,-40.9071,-19935.2339181287
229,-45.0067,-21933.089668616,-54.7418,-26677.2904483431,-50.0582,-24394.8343079922,-55.3805,-26988.5477582846,-44.4129,-21643.7134502924,-44.5692,-21719.8830409357
228,-48.2742,-23525.4385964912,-59.0854,-28794.0545808967,-54.0054,-26318.4210526316,-59.6851,-29086.306042885,-47.6193,-23206.2865497076,-47.9758,-23380.0194931774
227,-51.1459,-24924.9025341131,-62.737,-30573.5867446394,-56.9463,-27751.6081871345,-63.389,-30891.3255360624,-50.3022,-24513.7426900585,-50.7636,-24738.5964912281
226,-53.1996,-25925.730994152,-65.6296,-31983.2358674464,-59.6351,-29061.9395711501,-66.3064,-32313.0604288499,-52.4994,-25584.5029239766,-52.7511,-25707.1637426901
